roomKey,projectKey,roomName,podKeys,cablingReadyDate,equipmentReadyDate,liquidCoolingReadyDate,customerEntryDate,powerOffWindowStart,powerOffWindowEnd,constructionWindowStart,constructionWindowEnd,readinessStatus,roomConditionJson,region
京东::room::B2DH401,京东,B2DH401,"B2DH401-POD01,B2DH401-POD02,B2DH401-POD03,B2DH401-POD04",,,,,,,,,UNKNOWN,"[{""cabinets"": {}, ""podName"": ""B2DH401-POD01""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD01""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD01""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD01""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD02""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD02""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD02""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD02""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD03""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD03""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD03""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD03""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD04""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD04""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD04""}, {""cabinets"": {}, ""podName"": ""B2DH401-POD04""}]",
京东::room::B2DH403,京东,B2DH403,B2DH403-POD09,,,,,,,,,UNKNOWN,"[{""cabinets"": {}, ""podName"": ""B2DH403-POD09""}, {""cabinets"": {}, ""podName"": ""B2DH403-POD09""}, {""cabinets"": {}, ""podName"": ""B2DH403-POD09""}, {""cabinets"": {}, ""podName"": ""B2DH403-POD09""}]",
京东::room::B2DH402,京东,B2DH402,"B2DH402-POD05,B2DH402-POD06,B2DH402-POD07,B2DH402-POD08",,,,,,,,,UNKNOWN,"[{""cabinets"": {}, ""podName"": ""B2DH402-POD05""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD05""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD05""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD05""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD06""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD06""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD06""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD06""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD07""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD07""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD07""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD07""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD08""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD08""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD08""}, {""cabinets"": {}, ""podName"": ""B2DH402-POD08""}]",
